Login Time (Pacific Daylight Time),Source IP,Login Type,Status,Browser,Platform,Application,Login URL,TLS Protocol,TLS Cipher Suite,Country Code,Country,Subdivision,City,Postal Code,Latitude,Longitude,HTTP Method,Authentication Method Reference,Login Subtype,Forwarded For IP
"12/16/2024, 5:28 PM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.246.8"
"12/16/2024, 4:50 PM",99.11.236.239,Application,Success,Firefox 133,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.246.8"
"12/16/2024, 11:43 AM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.242.8"
"12/16/2024, 11:39 AM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.246.8"
"12/16/2024, 11:37 AM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.242.8"
"12/16/2024, 11:35 AM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.242.8"
"12/16/2024, 11:10 AM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.246.8"
"12/16/2024, 11:08 AM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.246.8"
"12/16/2024, 11:03 AM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.242.8"
"12/16/2024, 10:51 AM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.246.8"
